job_title,company,url,job_description,published_date,scrap_date
AI Imaging Scientist / Engineer,Bayside Solutions,JSON: https://www.glassdoor.com/Job/json/details.htm?pos=101&ao=25073&s=58&guid=00000171775905c9ae7beee91fbf2130&src=GD_JOB_AD&t=SR&extid=1&exst=E&ist=L&ast=EL&vt=w&slr=true&ea=1&cs=1_5613b268&cb=1586845255563&jobListingId=3552947440,"Bayside Solutions is seeking a <strong>AI Imaging Scientist / Engineer</strong> to be part of our client's team in South San Francisco. This is an opportunity to work with the largest privately held pharmaceutical corporation in the world and ranks among the world's 20 leading pharmaceutical corporations.
<br/><br/>
Our Client's culture is highly collaborative, offers an environment that encourages employees to expand their knowledge in order to make a profound impact on patients' lives. This could explain why their company has been recognized as one of the &quot;Top Twenty Employers&quot; in biotechnology and pharmaceuticals by Science Careers.
<br/><br/>
<strong>Our Company Bio:</strong> Bayside Solutions was founded in 2001, Bayside was recognized as one of the fastest growing professional staffing companies in Northern California. The numbers tell the story: We have close to a 100% client retention rate, 700% growth in four plus years and over 95% repeat business. Our dedication to building partnership relationships with both our clients and our recruits is the key to our phenomenal success.
<br/><br/>
You can find additional information on our company website at <strong>www.baysidesolutions.com</strong>.
<br/><br/>
<strong>AI Imaging Scientist / Engineer</strong>
<br/><br/>
<strong>Job Benefits:</strong>
<ul>
<li>An opportunity to join a patient-focused organization that is driven to develop, manufacture and commercialize medicines to treat life threatening conditions.</li><li>Work for a company that is local to the bay area and recognized as a leader of innovation.</li><li>Competitive compensation commensurate with experience.</li><li>This position is eligible for medical, vision, dental benefits, paid sick time, and 401K.</li>
</ul>
<strong>Summary of Responsibilities:</strong>
<ul>
<li>Early Clinical Development department is seeking an AI Imaging Scientist/Engineer reporting to the AI Imaging Team Lead. The AI Imaging group develops novel solutions for diagnostic, prognostic, response and safety prediction and biomarker development based on multi-modal datasets including clinical, radiology, genomics, etc data.</li><li>The AI scientist/engineer will collaborate with the rest of the AI Imaging team and the external collaborators in curating datasets, designing, training, analyzing and deploying models as well as documenting work and presenting it to various stakeholders.</li><li>Participate in key machine learning pilots to ensure successful completion and develop plans to integrate capabilities into the normal early clinical development process</li><li>Access, process, manipulate data of large volumes and from diverse sources</li><li>Curate datasets and develop experimentation protocols</li><li>Development of new and novel machine learning methods, including supervised, self-supervised and unsupervised learning techniques</li>
</ul>
<strong>Summary of Qualifications:</strong>
<ul>
<li>Degree in a relevant technical field such as Statistics, Mathematics, Computer Science. Masters or Ph.D. is a strong plus</li><li>3+ years of industry applied machine learning experience</li><li>Demonstrated teamwork and collaboration skills</li><li>Proficiency in Python. At least 3 years of industry experience</li><li>Demonstrated proficiency using Tensorflow and/or PyTorch</li><li>Demonstrated proficiency with CNNs, RNNs, GANs, etc</li><li>Strong analytical and problem-solving skills</li><li>Excellent oral and written communication skills</li><li>Ability to lead cross-functional multi-disciplinary teams</li>
</ul>","Apr 13, 2020",2020-04-14 15:22:22.710591
Accounting and Audit Software Specialist,Plante Moran,JSON: https://www.glassdoor.com/Job/json/details.htm?pos=102&ao=955327&s=58&guid=00000171775905c9ae7beee91fbf2130&src=GD_JOB_AD&t=SR&extid=1&exst=E&ist=L&ast=EL&vt=w&slr=true&cs=1_f870f972&cb=1586845255567&jobListingId=3552939099,"Make your mark. The Plante Moran Technology Services team is recognized as a Computerworld Top 100 Places to Work in IT for 2018 and 2019 and has won two prestigious awards in 2017: InformationWeek IT Excellence and the CIO 100. Our team was also a past award winner for InformationWeek IT Excellence in 2012 and 2013. If you are seeking professional growth, like being innovative and challenged, and desire to work on impactful business technology projects, we want to hear from you
<br/><br/>
Your role.
<br/><br/>
<strong>Your work will include, but not limited to:</strong>
<br/>
Support, develop, and train staff on the software and technology tools used by the firm&rsquo;s assurance staff
<br/>
Participate in technology initiatives that improve the assurance and tax experience
<br/>
Participate and gain expertise in emerging fields of accounting technology including artificial intelligence, data analytics, and automation
<br/>
Develop audit programs and tools to be utilized by audit and tax teams
<br/>
Create and enhance training materials and technological documentation relating to the support process
<br/><br/>
The qualifications.
<br/><br/>
Undergraduate degree in Accounting or Finance is required;
<br/>
A minor in Information Technology preferred
<br/>
2 years of public accounting experience is desired
<br/>
Proficiency in Microsoft Windows and Office Suite is required
<br/>
Knowledge and abilities in Information Technology, business processes, analysis, and problem solving is desired
<br/><br/>
<strong>Knowledge of the following software is preferred:</strong>
<br/>
CaseWare and ProSystem FX
<br/>
Adobe Acrobat
<br/>
<strong>IDEA</strong>
<br/>
MindBridge
<br/>
SharePoint
<br/>
Visio
<br/>
Strong desire to work in a team atmosphere
<br/>
A passion for helping others
<br/>
Desire to work in a fast-paced and challenging environment as the accounting and technology worlds innovate
<br/><br/>
This position may require some regional travel
<br/><br/>
Our difference.
<br/><br/>
We are a nationally recognized public accounting, consulting, and wealth management firm, consistently ranked as one of FORTUNE magazine&rsquo;s &ldquo;100 Best Companies to Work For.&rdquo; At Plante Moran, we live by the Golden Rule, fostering a relatively &ldquo;jerk-free&rdquo; culture with the lowest staff turnover rate in the industry. Our supportive network of well-rounded professionals is excited to catapult your growth and help pave your pathway to professional excellence.
<br/><br/>
Apply now. Make your mark.
<br/><br/>
Plante Moran is an Equal Opportunity Employer, committed to a diverse workplace.
<br/><br/>
Interested applicants must submit their resume for consideration using our applicant tracking system. Due to the high volume of applications received, only candidates selected for interviews will be contacted. Candidates must be legally authorized to work in the United States without sponsorship, with the exception of candidates that are bilingual in Japanese and English. Unsolicited resumes from search firms or employment agencies, or similar, will not be paid a fee and become the property of Plante Moran.
<br/><br/>
The specific statements above are not intended to be all-inclusive.","Apr 13, 2020",2020-04-14 15:22:25.663590
DATA SCIENTIST SME with Security Clearance,iC-1 Solutions,JSON: https://www.glassdoor.com/Job/json/details.htm?pos=103&ao=839713&s=58&guid=00000171775905c9ae7beee91fbf2130&src=GD_JOB_AD&t=SR&extid=1&exst=E&ist=L&ast=EL&vt=w&slr=true&cs=1_d2d10dd2&cb=1586845255570&jobListingId=3552937690,"Analyze both structured and unstructured data using data analytics, natural language processing, and artificial intelligence/machine learning techniques. Train and optimize machine learning models and coordinate with data engineering components to deploy trained models to work on production data at scale. Scale up prototype models and workflows to distributed clusters. Demonstrate Python development background with expertise in Python data analytics packages such as pandas, numpy, scipy, gensim, and scikit-learn.
<br/>
Demonstrate database technologies, including Elasticsearch and SQL databases
<br/>
Demonstrate data pipelines and workflow technologies, such as Apache NiFi
<br/>
Demonstrate task tracking and version control technology, such as GitHub and JIRA
<br/>
Demonstrate artificial intelligence and machine learning technologies/packages, such as TensorFlow, PyTorch, and scikit-learn
<br/>
Demonstrate machine learning model development on text data and structured datasets
<br/>
Demonstrate data visualization technologies and packages, such as Kibana, Bokeh, Leaflet/Folium, and Tableau
<br/>
Demonstrate experience developing in a cloud environment, such as Amazon Web Services","Apr 13, 2020",2020-04-14 15:22:28.383590
Data Scientist,CyberCoders,JSON: https://www.glassdoor.com/Job/json/details.htm?pos=104&ao=291820&s=58&guid=00000171775905c9ae7beee91fbf2130&src=GD_JOB_AD&t=SR&extid=1&exst=E&ist=L&ast=EL&vt=w&slr=true&ea=1&cs=1_b53319a7&cb=1586845255573&jobListingId=3552938922,"Data Scientist If you are a Data Scientist with experience, please read on! Based in Wilmington, DE, we are a leader in Customer Experience Management solutions and are a Saas-based enterprise debt-collection software provider. We are looking to add bright engineers, developers and DBAs to our team. Top Reasons to Work with Us - Leader in our field - Well-funded - Great office space What You Will Be Doing - Apply advanced analytical methods to solve difficult, non-routine analysis problems. - Conduct end-to-end analysis that includes data gathering, requirements specification, processing, analysis, ongoing deliverables, and notations. - Build and prototype analysis pipelines iteratively to provide insights at scale. - Develop comprehensive understanding of data structures and metrics. - Make business recommendations (e.g. cost-benefit, forecasting, and experiment analysis) with effective presentations of findings at multiple levels of stakeholders through visual displays of quantitative information. What You Need for this Position Qualifications: - Master's Degree - Researching machine learning problems - Handling large datasets and conducting advanced data analysis - Stochastic differential equations - Advanced Data Analysis - Python, MATLAB, C/C++ - Machine Learning Models - LightGBM, Neural Network, Nauve Bayes, Gaussian Mixture Model, HMM What's In It for You - Competitive Salary and Benefits - 401K match - 4 weeks' vacation So, if you are a MySQL Database Administrator with experience, please apply today! - Applicants must be authorized to work in the U.S.
<br/>
CyberCoders, Inc is proud to be an Equal Opportunity Employer
<br/><br/>
All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.
<br/><br/>
Your Right to Work In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.","Apr 13, 2020",2020-04-14 15:22:29.879590
Cloud Software Architect,CyberCoders,JSON: https://www.glassdoor.com/Job/json/details.htm?pos=105&ao=291820&s=58&guid=00000171775905c9ae7beee91fbf2130&src=GD_JOB_AD&t=SR&extid=1&exst=E&ist=L&ast=EL&vt=w&slr=true&ea=1&cs=1_f71b3982&cb=1586845255576&jobListingId=3552937862,"Cloud Software Architect We are a Japanese organization, but this role will be based out of our Fremont office. We are currently seeking an Cloud Software Architect to be an individual contributor on new product development. We are a medical device organization that has been in business for the last 8 years. Over the last 2 years we have seen an increase of 11% in our headcount! This position will be overseeing the future of our company. We are looking to add to our team in Fremont, and this position will be the beginning stages. Though this position will begin as an individual contributor we are seeking to move this position toward a leadership role in the future. If you are a Cloud Software Architect with experience, please read on! If you are a Cloud Software Architecture with experience, please read on! What You Will Be Doing - Interface with our Artificial Intelligence engineers to architect a seamless way to connect our data to external AI engines, while designing use-cases that assist our customers - Architect innovative features that add value to our company value proposition. - Expected to function in a rapidly changing environment. - Expected to work with global and cross-functional teams What You Need for this Position More Than 5 Years of experience and knowledge of: - Kafka - Mongo - ELK - Kinesis - Vertex - Cloud - Embedded Systems - Artificial Intelligence - Hardware - Optics What's In It for You - Competitive first year base salary - Health Dental Vision - Bonus - Based on on company and individual performance - 401K Matching - PTO So, if you are a Cloud Software Architecture with experience: 1. Apply directly to this job opening here! Or 2. E-mail directly for more information to Steve.Nash@cybercoders.com - Applicants must be authorized to work in the U.S.
<br/>
CyberCoders, Inc is proud to be an Equal Opportunity Employer
<br/><br/>
All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.
<br/><br/>
Your Right to Work In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.","Apr 13, 2020",2020-04-14 15:22:32.690590
Senior Data Engineer - Scala,CyberCoders,JSON: https://www.glassdoor.com/Job/json/details.htm?pos=106&ao=291820&s=58&guid=00000171775905c9ae7beee91fbf2130&src=GD_JOB_AD&t=SR&extid=1&exst=E&ist=L&ast=EL&vt=w&slr=true&ea=1&cs=1_37cfde51&cb=1586845255580&jobListingId=3552937940,"Senior Data Engineer - Scala Title: Senior Data Engineer Location: Redwood City, CA Compensation: Competitive Salary 160 - 225k (DOE) Requirements: Scala Experience-- If you are a talented Date Engineer with some Scala Experience, please read on! Based out of the South Bay, our focus is to generate insights on infectious diseases utilizing the power of Artificial Intelligence! We are seeking a talented Senior Software Engineer to develop, test and deploy front-end solutions with the latest and greatest tech! If you are interested in utilizing modern tech to advance the treatment of infectious diseases, please read on! What You Need for this Position 5+ years of experience and experience with most of the following: - Scala - TypeScript - K8S - AWS - graphQL - gRPC - Istio - Helm - Argo So, if you are a Senior Data Engineer with Scala experience, please apply today! - Applicants must be authorized to work in the U.S.
<br/>
CyberCoders, Inc is proud to be an Equal Opportunity Employer
<br/><br/>
All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.
<br/><br/>
Your Right to Work In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.","Apr 13, 2020",2020-04-14 15:22:34.740590
Senior Software Engineer,CyberCoders,JSON: https://www.glassdoor.com/Job/json/details.htm?pos=107&ao=291820&s=58&guid=00000171775905c9ae7beee91fbf2130&src=GD_JOB_AD&t=SR&extid=1&exst=E&ist=L&ast=EL&vt=w&slr=true&ea=1&cs=1_aa381b5a&cb=1586845255583&jobListingId=3552938788,"Senior Software Engineer If you are a Senior Software Engineer with experience in Agile methodologies and Software Design Life Cycles, please read on! We are a computer software company that has been providing innovative accounting and business software to businesses across the country for over 40 years. Our industry knowledge has allowed us to leverage new technologies such as Platform as a Serve (PaaS) and cloud computing solutions to assist our clients keep up with a changing marketplace. We are looking for a Senior Software Engineer to join our Agile team to contribute and enhance our platform and solutions. What You Will Be Doing - Demonstrate strong understanding of Object Oriented Design (OOD) methodologies - Collaborate with Cross-functional Agile team throughout the SDLC of a project - Lead Agile and lean methodologies on development processes on projects - Assistin Back-end product feature ugrades. What You Need for this Position - 5+ years of Software Development experience in a enterprise wide environment - Strong background in Software Development Life Cycles(SDLC) - Ability to work and communicate within a cross-functional team - Experience with Agile, Lean, Kanban Methodologies What's In It for You - Vacation/PTO - Medical - Dental - Vision - 401k So, if you are a Senior Software Engineer with experience in Agile methodologies and Software Design Life Cycles, please apply today! - Applicants must be authorized to work in the U.S.
<br/>
CyberCoders, Inc is proud to be an Equal Opportunity Employer
<br/><br/>
All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.
<br/><br/>
Your Right to Work In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.","Apr 13, 2020",2020-04-14 15:23:07.864590
Senior Software Development Engineer,CyberCoders,JSON: https://www.glassdoor.com/Job/json/details.htm?pos=108&ao=291820&s=58&guid=00000171775905c9ae7beee91fbf2130&src=GD_JOB_AD&t=SR&extid=1&exst=E&ist=L&ast=EL&vt=w&slr=true&ea=1&cs=1_a666c92a&cb=1586845255586&jobListingId=3552936419,"Senior Software Development Engineer If you are a passionate and experienced Senior Software Developer, please read on! ---This opportunity is currently offered as remote, however, will eventually be locally based out of Plano, TX. Top Reasons to Work with Us 1. Competitive Salary + Bonuses &amp; Benefits! 2. Continuous growth with a very motivated and supportive team! 3. Remote &amp; On-Site capabilities! What You Will Be Doing Utilizing your experience with the following to build web apps with a heavy focus on Sass apps. -MUST be experienced in working on and delivering B2B and/or B2C Sass products and updates throughout the process. -Experienced in working with Agile, React, Angular, Docker, Kubernetes, Graph Databases, and Traversal algorithms. -Familiarity with infrastructure codes, automation tests, and ensuring quality upon delivery -Ability to stay focused and motivated whether working independently or on a team What You Need for this Position - building web apps - SaaS - REACT - Angular - feature flags - Infrastructure code - Kubernetes - Docker - Node.js - TDD What's In It for You -Competitive Salary + Bonuses &amp; Benefits! -Continuous growth with a very motivated and supportive team! -The ability to stay safe during this current pandemic and work remotely -Eventually, when it's safe to do so, you will report to work at the Plano, TX location and work with an incredibly talented and passionate team! So, if you are a Senior Software Development Engineer excelling in the mentioned experience, please apply today! - Applicants must be authorized to work in the U.S.
<br/>
CyberCoders, Inc is proud to be an Equal Opportunity Employer
<br/><br/>
All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.
<br/><br/>
Your Right to Work In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.","Apr 13, 2020",2020-04-14 15:23:10.449579
"Manager, Software Engineering, AR/VR - People AI",Facebook,JSON: https://www.glassdoor.com/Job/json/details.htm?pos=109&ao=132920&s=58&guid=00000171775905c9ae7beee91fbf2130&src=GD_JOB_AD&t=SR&extid=1&exst=E&ist=L&ast=EL&vt=w&slr=true&cs=1_bb4af477&cb=1586845255589&jobListingId=3552926428,"Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities - we're just getting started.Your job will be to both manage and partner with groups working across the full spectrum from research to product development, managing our technical investment portfolio supporting multiple products across different timelines. You will oversee and be responsible for a broad array of state-of-the-art technology areas, spanning Face Tracking, Face Filters, Body Tracking, Avatars, Virtual Try-Ons, all of which designed to run on client (edge) devices. Prospective candidates should have sufficient technical depth and breadth in the associated set of technologies to make portfolio management, resourcing and roadmap decisions.
<br/><br/>
<strong><h4>Responsibilities:</h4>
<br/>
</strong>

<ul>
<li>Leading an organization comprised of technology leaders, applied scientists and engineers from prototyping across development and integration of advanced systems relying heavily on Computer Vision and/or AI/Machine Learning technologies</li><li>Owning the development of system requirements, and collaborating with respective teams to mature and integrate technologies necessary to create product architectures that can deliver these requirements</li><li>Engaging cross-functionally with other researchers and engineers to develop concepts that advance the entire product pipeline (hardware, software, integration, infrastructure, and applications)</li><li>Recruit world-class talent and provide mentorship to team members</li><li>Working closely with various organizations to define and execute the long-term roadmaps</li><li>Coordinating with research, user research, art, partnership and legal to both define and execute technology development with key partners &amp; suppliers</li><li>Developing and communicating technology development strategies and status</li><li>Facilitating and working with teams to proactively alleviate project bottlenecks</li>
</ul>

<strong><h4>Mininum Qualifications:</h4>
<br/>
</strong>

<ul>
<li>BS degree in Engineering, Physics, Computer Science or equivalent</li><li>5+ years of people management experience in multi-disciplinary global teams at the intersection of tech and product, including building performing teams and organization</li><li>3+ years of experience supporting an engineering and research organization through technical leadership</li><li>Demonstrated experience in recruiting and managing technical teams, including performance management</li><li>Experience in managing teams productizing Computer Vision or AI/Machine Learning technologies from conception to end</li><li>Leadership and interpersonal communication experience in working across many disciplines, drive best practices, and mentor team members</li><li>Experience managing joint hardware-software development and associated rapid prototyping projects</li><li>Technical experience in leading teams/projects in one or more of the technical domains of machine perception (i.e., machine vision, deep learning, sensors and robotics)</li>
</ul>

<strong><h4>Preferred Qualifications:</h4>
<br/>
</strong>

<ul>
<li>PhD in a related field of Computer Vision, Computer Graphics or AI/Machine Learning</li><li>Experience in leading teams developing social presence technologies such as face tracking, face filters, body tracking, avatars and virtual try-ons</li><li>Experience in leading teams interfacing with HW (sensors, silicon) teams in setting requirements and product tradeoffs</li><li>Flexibility and resilience in a dynamic environment</li>
</ul>

Facebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law.
<br/><br/>
Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com.","Apr 13, 2020",2020-04-14 15:23:12.415591
Data Scientist,Waystar,JSON: https://www.glassdoor.com/Job/json/details.htm?pos=110&ao=211113&s=58&guid=00000171775905c9ae7beee91fbf2130&src=GD_JOB_AD&t=SR&extid=1&exst=E&ist=L&ast=EL&vt=w&slr=true&cs=1_49ea12e8&cb=1586845255592&jobListingId=3552913515,"Waystar modernizes the healthcare revenue cycle through innovative, cloud-based technology. We provide the highest-rated client experience to more than 450,000 providers, 22,000 healthcare organizations and 750 health systems and hospitals around the country. Together, our technology, data and client support streamline workflows and improve financials for our clients, so that they can focus on their patients. We are deeply committed to living out our organizational values: honesty; passion; curiosity; fanatical focus; best work, always; making it happen; and joyful, optimistic and fun.
<br/><br/>
What is the purpose of this position?
<br/><br/>
We are looking for an experienced Data Scientist, who has previously supported Healthcare software applications. The data scientist role involves solving technical, data-driven Healthcare problems using computer science, mathematical, predictive modeling and statistical methods, &amp; knowledge. This person will interact with teams from Account Management to Application Engineering and R&amp;D, to conduct detailed analysis and experimentation to maximize the utility of predictive modeling, analytic and machine learning across Waystar's product line. The role will focus on extending machine learning, predictive modeling, and analytic components to provide up-to-date intelligence to Healthcare providers maximizing outcomes. An ideal candidate for this position can approach problem-solving challenges independently, has a strong attention to detail, and enjoys working in a fast-paced, collaborative, and team-based environment.
<br/><br/>
Looking for some details?


<ul>
<li>Works closely with Application Engineering, Product Management, and Operational teams in designing, experimenting-with, and implementing machine learning and analytical systems applied to design information and user behavior</li>
<li>Works closely with Application Engineering teams to gather and process data, as well as in surfacing various analytically-based features in core products</li>
<li>Works on groundbreaking new applications of machine learning and analytic technology to Healthcare, producing quantitative, justifiable results to guide feature planning</li>
<li>Translates real-world Healthcare problems to mathematical frameworks</li>
<li>Works with Product Management, Marketing, and Sales as needed to promote sales and to incorporate market and customer feedback</li>
<li>Data exploration, hypothesis creation (from business and product goals), testing algorithms, scaling to large data-sets and validating results will be common tasks for this role</li>
<li>Understands, organizes, and communicates root causes of problems and successes succinctly</li>
</ul>

Do you fit our team?


<ul>
<li>Complete familiarity with various statistical and machine learning techniques including: classification, regression, dimension reduction, clustering, and various multivariate methods</li>
<li>Complete familiarity with empirical approaches to estimate performance of machine learning models including: hold-out sets, cross-validation, leave-one-out testing</li>
<li>Understanding of orders of algorithms and how they scale</li>
<li>Demonstrated competency in R/Python predictive modeling</li>
<li>Demonstrated competency in RDBMS (e.g. SQL Server)</li>
<li>Ability to code in 1+ general purpose programming language (C#, Java, etc.)</li>
<li>Must be a quick-learner with the ability to multi-task in a fast-paced environment</li>
<li>Outstanding presentation abilities and the ability to communicate with all levels of the Business</li>
<li>Comfortable working in newly-forming, ambiguous areas where learning and adaptability are key skills</li>
<li>Outstanding communication and interpersonal skills</li>
<li>Must possess strong analytical, problem-solving, and writing skills</li>
<li>Proficient in Microsoft Office applications</li>
<li>Detail-oriented</li>
</ul>

<strong>Preferred Skills:</strong>


<ul>
<li>Master of Science degree or higher in the fields of Computer Science, Statistics, or Mathematics is preferred</li>
<li>An aptitude for medical informatics is preferred</li>
</ul>

In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.<br/><br/>SDL2017","Apr 13, 2020",2020-04-14 15:23:14.602590
